Player Name,Country,Role,Base_Price,Selling_Price,Team,Bid,Team_ID
Shoun Roger,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Amit Ali,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Chaitanya Bishnoi,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Mayank Dagar,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Shivam Sharma,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Pratyush Singh,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Sanvir Singh,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Dhrushant Soni,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
M Venkatesh,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Auqib Dar,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Chirag Gandhi,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Sijomon Joseph,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Anirudha Joshi,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Shubham Sharma,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Shubham Singh,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Diwesh Pathania,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Shubham Ranjane,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Sagar Trivedi,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Harsh Tyagi,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
R Vivek,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
RSonu Yadav,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Jay Bista,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Saurav Chuahan,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Tajinder Dhillon,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Dikshanshu Negi,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Abhishek Raut,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
KV Sasikanth,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Bharat Sharma,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Shivam Sharma,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Ankit Yadav,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Manoj Bhandage,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Arun Chaprana,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Ajay Dev Goud,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Divyang Hinganekar,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Azim Kazi,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Sujit Nayak,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Parth Sahani,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Ashutosh Sharma,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Vivrant Sharma,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Kumar Kartikeya Singh,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Ravi Chauhan,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
M Mohammed,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Pulkit Narang,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Pradosh Paul,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Pushpendra Singh Rathore,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Purnank Tyagi,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Samarth Vyas,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Dev Lakra,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Ajay Mandal,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Lakhan Raja,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Girinath Reddy,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Siddhant Sharma,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Saurin Thakar,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Yuvraj Chaudhary,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Khizar Dafedar,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Sahil Dhiwan,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Arjit Gupta,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Mickil Jaiswal,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
J Kousik,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Jitender Pal,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Jonty Sidhu,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Yashovardhan Singh,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Pranshu Vijayran,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Ishan Afridi,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Mohammed Afridi,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Prerit Agrawal,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Nidhish Rajagopal,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Bavanaka Sandeep,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Maxwell Swaminathan,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
M Siddharth,India,BOWLER,2000000,0,N.A.,UNSOLD,N.A.
